Headline,Summary
Spain vs Croatia," Spain and Croatia are set to face off in the Euro 2024 qualifier on Saturday, with Spain having won their last six games in Group B and Croatia winning their last six of their last five games. Italy will also be playing against Albania in the other Group B game. The tournament will kick off at 5pm BST on June 15, marking the first time these two teams have met in a friendly.

Spain's Granit Xhaka, making his debut for Switzerland against Hungary, has been out of action since July but has played down reports of a rift with head coach Murat Yakin. Meanwhile, Germany will host Hungary in their opening Euro 2024 qualifier, with Holland taking on Hungary in the Group A opener.

England will face Croatia in the other Group A game, with the two sides being shown live TV on ITV 1 and STV in the UK. The tournament will also feature the World Cup finals, which will be held in Croatia on June 15.

Spain beat Croatia 3-0 in their Euro 2024 qualifier, with Fabian Ruiz scoring the only goal of the game. Croatia, on the other hand, lost just once in their last 90 competitive matches. The two sides will meet again in the Euro 2024 Group B opener on June 15.

Spain's Alvaro Morata scored a late penalty to make it 2-0 in their Euro 2024 qualifier against Croatia, while Croatia's Luka Modric scored the only goal of the game in their previous match. Spain's chances of winning the tournament are slim, but the Euro 2024 is the final of the tournament."
NHL," The NHL Stanley Cup Final is set to take place on June 15, 2024, at Rogers Place, with the New York Rangers facing off against the Florida Panthers. The Panthers will also compete in the first round against the Edmonton Oilers. The Oilers, who are the reigning Stanley Cup Finals champions, have a 4-8 record in the finals and are looking to improve their chances with a new team. The NHL has been without a winning record since 2006 and is aiming to win its first Stanley Cup since then. The NHL Draft will be held on June 28, with the first round taking place at Rogers Place. The top goal scorer and points scorer in the NHL is Konsta Helenius. The Utah Hockey Club has been officially announced as a new NHL franchise."
Bump stocks," In a landmark decision, the U.S. Supreme Court struck down a ban on bump stocks, devices that enable semiautomatic weapons to fire at a rate comparable to machine guns. The ban, passed in 2010, was intended to curb gun violence following a mass shooting at a Las Vegas music festival. However, the majority opinion found the ban unconstitutional, marking the first time the court has overturned a gun ban in U.S. history. President Obama expressed disappointment with the ruling, but the Supreme Court will now reconsider the case in a new way. The decision has sparked a debate on gun control, with gun-rights advocates warning of ""deadly consequences."" The White House has pledged to work with Republicans willing to negotiate new gun control laws. The ruling has significant implications for the millions of people who own bump stocks, and the future of gun regulation in the U.S. remains uncertain."
College World Series," The 2024 DI men's baseball tournament kicks off this Saturday in Omaha, Nebraska, with eight teams vying for the NCAA championship. The tournament marks the first time it has been held in Omaha since 1947. Texas A&M, the only team to have previously won the championship, will face the winner of the other two games. The team's pitching staff has been unexpected, with a batting average of 289, higher than the national average. Last season, Tennessee baseball faced a major upset in the College World Series against LSU. The tournament will be held at Charles Schwab Field in Omaha, Nebraska, and will feature Florida State and Texas A&M Aggies. The Aggies are the first team to win a World Series title since the 1980s. North Carolina, in its third appearance since 2013, will play the winner of the game Saturday at 7:00 ET. The University of North Carolina won its first game of the tournament with a walk-off victory over Virginia. Florida State will play Virginia on Sunday at 2 p.m. ET."
Clash at the Castle 2024," WWE will host a live event in Glasgow on Saturday, featuring a rematch between Cody Rhodes and AJ Styles for the Undisputed WWE Championship. The event, set to take place at the OVO Hydro in Glasgow, Scotland, will showcase five titles on the card, including the WWE Women's Tag Team Championship. The main event will see Cody Rhodes and Damian Priest battle for the title, with Bianca Belair and Jade Cargill as the main challengers. The event will be the first time WWE has hosted a WWE title match in the U.S. and will be available on Binge, the new official home for WWE's WWE Premier League."
Euro 2024 schedule," Euro 2024, the much-anticipated European football championship, is set to commence on June 15 in Germany, marking the first time the tournament will be held in the same country as the final. The event will feature 51 games between June 14 and July 14, with the final taking place on July 17.

Germany and France will face off in a tripleheader of games, while Italy and Spain will compete in Group A. The tournament will also see the return of the European Champions League to a single host country for the first time.

Europe's top players will be in attendance, with the first match kicking off on June 15. The tournament will be hosted by UEFA Euro 2024, with three games per day, including a friendly match between Albania and the host nation.

Germany will host the final match of the tournament, with the RheinEnergieStadion in Cologne serving as one of the venues. The European Championship will also feature a quarter-final match in Berlin on July 14.

The tournament will be a significant event for England, with the Three Lions being the favorites to win. The World Cup is seen as a ""biggest step"" for the team, and England's Euro 2024 squad will be finalized soon.

In addition to the main tournament, the Euro 2024 qualifier will also take place, with Croatia's Dwadow scoring a late winner against Hungary. The European Championship will also feature a friendly match between France and Albania in Hamburg.

The Euro 2024 squads for Germany, France, and England are expected to be announced soon, with stars like Lionel Messi, David Luiz, Paul Pogba, and Romelu Lukaku among the potential players."
Donald Trump," The first presidential debate of the 2024 election cycle will take place in Atlanta on June 27, moderated by CNN's Jake Tapper and Dana Bash. Despite President Obama's campaign blocking the event, the debate is expected to be a significant moment in the election cycle.

Former president of the GOP, Donald Trump, is expected to attend the event, which has been dubbed ""Black Americans for Trump."" The event will be the first in a series of debates to be held at the same venue.

The final details of the live debate between Donald Trump and Joe Biden have been released by CNN. Trump's son has expressed his support for Trump's views on immigration, despite some criticism from advisers.

Trump's son also claimed that Nancy Pelosi's daughter would be perfect together, while the former president's remarks about the US President's immigration record have been criticized.

Trump's campaign has been trying to inject humor into its output, with a recent Wall Street Journal article quoting a senior Republican lawmaker as saying that Trump's 'accomplishment' was a gift to his rival.

Trump made a triumphant return to Capitol Hill on Thursday, addressing a crowd of Republicans at a convention in West Palm Beach. The event in West Florida sold out of 5,000 tickets at about $35 apiece.

Trump is expected to win the third term in office, with his first visit to Capitol Hill in November being to meet with a group of Republicans.

A recent video of Trump boasting about grabbing women by their genitalia was released, with the former president being convicted of a decade-old video bragging about the same.

Former lawyer Michael Cohen, who was a longtime mentor to the president of the Trump family, was convicted of lying to prosecutors about his involvement in the trial of Trump's lawyer. He was sentenced to three years in prison and put in solitary confinement.

The former Miss Oregon USA, who met Trump while competing in the Miss Oregon pageant, has been criticized for his comments about the death of a journalist. Trump has not responded to the allegations"
Nick Mavar," In a tragic turn of events, Nick Mavar, 59, a beloved deckhand on the Discovery Channel's 'Deadliest Catch' reality series, passed away on Thursday at a hospital in Alaska. Mavar, who had been a fixture on the show for 15 years, had previously left the series in late 2020 after suffering a ruptured appendix. He was also a deckhand on the Northwestern, a Massachusetts-based boatyard.

Mavar's death comes four years after he left the program, following a cancerous tumor diagnosis in 2021. The Discovery Channel has confirmed that Mavar died of natural causes. In a lawsuit filed in December, Mavar claimed he suffered a ruptured appendix and cancerous tumors.

The boat's owner sued the company for $2 million over a medical emergency, while Mavar's family has been notified of his passing. The Discovery Channel is still waiting to speak to witnesses regarding Mavar's death."
Argentina," In a thrilling 4-1 victory over Guatemala, Lionel Messi showcased his prowess by scoring twice, as Argentina gears up for the Copa América. The Argentine squad, led by the World Cup-winning captain Luis Enrique, will face Canada in the opening match on June 25. Messi, who has been linked with a move to the MLS, has been in the limelight since his World Cup triumph in 2010, amassing seven Ballon d'Or awards and seven World Cup trophies. The Copa América, set to begin on June 26 in Atlanta, has seen Argentina's 26-player squad named, with Hernandez's side also set to face Peru on June 30. The tournament marks a significant moment for Argentina as they aim to continue their footballing legacy."
Klay Thompson," Klay Thompson, the Golden State Warriors star, has unfollowed the team's official Instagram page and deleted all posts related to the Warriors. The move comes as Thompson is set to become an unrestricted free agent this summer, following a contract expiration. Despite playing all of his 13 NBA seasons with the Warriors, Thompson's career has seen a decline in recent years. The Warriors are currently in the midst of a $190 million contract extension, and Thompson has been linked to several potential suitors this summer. However, he has not been linked with a new team. The unfollowing of the Warriors' Instagram page indicates Thompson's dissatisfaction with the contract negotiations."
